epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3252.84,0.55437,0.90513,0.55646,1.0067,0.7896,0.86187,0.84258,0.74264,0.77739,0.85548,0.82098,0.65926,0.50484,0.71763,0.9138,0.91862,0.000742815,0.000742815,0.000742815
30,3370.21,0.55512,0.9247,0.55106,1.00509,0.79836,0.85649,0.85031,0.74513,0.78553,0.84425,0.82964,0.66457,0.49826,0.68106,0.83945,0.9111,0.000709809,0.000709809,0.000709809
31,3481.97,0.54326,0.86639,0.52953,0.99409,0.78625,0.86407,0.83426,0.737,0.78085,0.85358,0.81894,0.64799,0.47478,0.65666,0.83214,0.89021,0.000676802,0.000676802,0.000676802
32,3592.24,0.54527,0.86305,0.53835,1.00234,0.77748,0.89143,0.83204,0.73414,0.76316,0.87619,0.81135,0.64525,0.50648,0.73642,0.89305,0.91427,0.000643795,0.000643795,0.000643795
33,3703.08,0.53107,0.85764,0.51953,0.99253,0.79144,0.89913,0.84124,0.73536,0.78169,0.89022,0.8269,0.64888,0.50794,0.70728,0.91013,0.92452,0.000610789,0.000610789,0.000610789
34,3814.73,0.52586,0.88409,0.52095,0.98966,0.77369,0.86148,0.82242,0.72623,0.76171,0.84928,0.80444,0.64043,0.48433,0.68239,0.8727,0.89339,0.000577782,0.000577782,0.000577782
35,3926.27,0.51567,0.85152,0.51301,0.98375,0.809,0.87807,0.83741,0.73793,0.80335,0.87159,0.82247,0.65353,0.50561,0.63283,0.84238,0.91282,0.000544776,0.000544776,0.000544776
36,4037.73,0.51575,0.84452,0.51061,0.98797,0.83254,0.8481,0.84709,0.752,0.82073,0.83741,0.82915,0.66533,0.48391,0.63831,0.83399,0.89139,0.000511769,0.000511769,0.000511769
37,4149.39,0.50655,0.82971,0.50615,0.98095,0.8127,0.85824,0.82979,0.74066,0.79962,0.85084,0.81372,0.65282,0.48534,0.62905,0.85618,0.8891,0.000478762,0.000478762,0.000478762
38,4260.24,0.50068,0.86551,0.5021,0.97827,0.83198,0.83979,0.83462,0.74591,0.82799,0.83669,0.82736,0.66198,0.4902,0.67911,0.86417,0.89908,0.000445756,0.000445756,0.000445756
39,4371.61,0.49748,0.80595,0.48928,0.97245,0.84702,0.83055,0.84003,0.74221,0.83895,0.82445,0.82247,0.65884,0.50758,0.63631,0.95473,0.90741,0.000412749,0.000412749,0.000412749
40,4481.6,0.48861,0.8187,0.48293,0.97211,0.81809,0.86297,0.84435,0.74952,0.80822,0.85317,0.82698,0.66415,0.46524,0.62218,0.83349,0.88125,0.000379743,0.000379743,0.000379743
41,4592.96,0.4627,0.68142,0.43103,1.00057,0.81687,0.87314,0.84684,0.75474,0.81359,0.87231,0.83559,0.67381,0.47468,0.60346,0.81825,0.89289,0.000346736,0.000346736,0.000346736
42,4702.46,0.45371,0.66761,0.41834,0.99754,0.84314,0.84716,0.84993,0.76014,0.79232,0.89739,0.84014,0.6763,0.46167,0.61609,0.80993,0.89319,0.000313729,0.000313729,0.000313729
43,4814.43,0.43807,0.64868,0.41308,0.98498,0.82208,0.86473,0.8406,0.75113,0.81077,0.85403,0.822,0.66081,0.47753,0.61833,0.86093,0.89503,0.000280723,0.000280723,0.000280723
44,4923.02,0.42516,0.62981,0.39928,0.9751,0.83329,0.86488,0.85764,0.77128,0.82681,0.83866,0.8417,0.6864,0.45484,0.58899,0.81998,0.878,0.000247716,0.000247716,0.000247716
45,5034.24,0.42474,0.62439,0.39917,0.97384,0.82011,0.87619,0.84206,0.75909,0.814,0.8731,0.82743,0.66515,0.46013,0.60515,0.88666,0.87295,0.00021471,0.00021471,0.00021471
46,5143.19,0.41137,0.61623,0.38746,0.96469,0.83319,0.84297,0.85386,0.76824,0.79751,0.85553,0.83658,0.67925,0.4309,0.64208,0.84848,0.861,0.000181703,0.000181703,0.000181703
47,5251.89,0.40554,0.60981,0.38418,0.96835,0.83233,0.85653,0.85303,0.76438,0.82241,0.84434,0.83448,0.68188,0.42765,0.5919,0.85805,0.86434,0.000148696,0.000148696,0.000148696
48,5360.48,0.40286,0.61418,0.37815,0.96178,0.83882,0.85653,0.85344,0.76783,0.82286,0.84734,0.83394,0.67711,0.41567,0.61581,0.84905,0.85245,0.00011569,0.00011569,0.00011569
49,5468.73,0.38682,0.58866,0.36991,0.95001,0.84032,0.85823,0.85145,0.76474,0.82929,0.84754,0.83474,0.67994,0.42156,0.57692,0.84019,0.85445,8.26832e-05,8.26832e-05,8.26832e-05
50,5578.2,0.38348,0.58526,0.36787,0.95111,0.8375,0.85503,0.852,0.76677,0.82661,0.84284,0.83315,0.68242,0.42511,0.61727,0.85125,0.85914,4.96766e-05,4.96766e-05,4.96766e-05
