epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1691.2,0.59856,0.92848,0.60592,0.98057,0.82967,0.79388,0.80264,0.69491,0.82185,0.78643,0.79091,0.60671,0.59963,0.94057,0.79862,0.87463,0.00120491,0.00120491,0.00120491
30,1749.12,0.60513,0.92941,0.60635,0.9864,0.75188,0.83711,0.80338,0.69176,0.75083,0.80525,0.78447,0.61701,0.60359,0.7664,0.74521,0.88184,0.0011884,0.0011884,0.0011884
31,1806.95,0.59339,0.90546,0.59237,0.97585,0.7874,0.79989,0.81557,0.68469,0.78278,0.79572,0.80172,0.60224,0.61271,0.84105,0.7732,0.90491,0.0011719,0.0011719,0.0011719
32,1864.02,0.5965,0.90723,0.59372,0.98254,0.77674,0.86578,0.81814,0.70539,0.79124,0.84434,0.80793,0.63481,0.60249,0.78104,0.70705,0.87323,0.0011554,0.0011554,0.0011554
33,1920.86,0.58529,0.89497,0.58414,0.9719,0.78152,0.84434,0.82923,0.72738,0.77422,0.83665,0.81483,0.63031,0.60112,0.8302,0.7466,0.88312,0.00113889,0.00113889,0.00113889
34,1977.44,0.58442,0.86995,0.58264,0.97333,0.77549,0.83082,0.81427,0.70101,0.75228,0.80487,0.78068,0.60513,0.60013,0.90994,0.69646,0.89598,0.00112239,0.00112239,0.00112239
35,2032.7,0.57967,0.88077,0.58127,0.97261,0.81761,0.84127,0.84143,0.73689,0.80631,0.83058,0.82453,0.65155,0.54362,0.7575,0.65424,0.85302,0.00110589,0.00110589,0.00110589
36,2087.47,0.57624,0.88358,0.57564,0.96846,0.83264,0.84493,0.8496,0.7382,0.82369,0.83463,0.83763,0.65604,0.5624,0.70954,0.64022,0.85147,0.00108938,0.00108938,0.00108938
37,2144.81,0.57056,0.88532,0.57256,0.9749,0.778,0.84081,0.8465,0.72825,0.76948,0.83166,0.82677,0.65158,0.57098,0.75168,0.69869,0.86768,0.00107288,0.00107288,0.00107288
38,2200.24,0.55821,0.89586,0.56903,0.96245,0.80781,0.85814,0.84618,0.74634,0.80613,0.84198,0.83171,0.65069,0.55206,0.73154,0.62128,0.8469,0.00105638,0.00105638,0.00105638
39,2258.79,0.57322,0.84963,0.56512,0.96512,0.82853,0.82429,0.83783,0.73605,0.8226,0.81965,0.81808,0.65254,0.54206,0.70824,0.63957,0.85418,0.00103987,0.00103987,0.00103987
40,2312.55,0.55759,0.84864,0.5692,0.96093,0.81626,0.88351,0.84958,0.74253,0.80739,0.86707,0.83226,0.67004,0.55968,0.69345,0.67539,0.85702,0.00102337,0.00102337,0.00102337
41,2370.64,0.56464,0.83774,0.56251,0.96527,0.80377,0.86404,0.8524,0.75152,0.81311,0.84084,0.83807,0.6672,0.53957,0.72567,0.6049,0.84333,0.00100687,0.00100687,0.00100687
42,2428.18,0.55901,0.81497,0.55133,0.96357,0.82272,0.86441,0.85161,0.74954,0.80822,0.84921,0.83224,0.67559,0.57246,0.70327,0.63186,0.88155,0.000990365,0.000990365,0.000990365
43,2484.42,0.5403,0.83907,0.54059,0.9533,0.81819,0.85658,0.84662,0.73276,0.80887,0.84138,0.82527,0.64749,0.57163,0.77824,0.67502,0.88184,0.000973861,0.000973861,0.000973861
44,2541.16,0.54992,0.82125,0.55081,0.96043,0.84887,0.86263,0.85807,0.75671,0.8419,0.85649,0.8433,0.68059,0.53435,0.73286,0.59503,0.83098,0.000957358,0.000957358,0.000957358
45,2597.44,0.55265,0.81766,0.54831,0.95562,0.76722,0.86323,0.81928,0.71393,0.75895,0.86112,0.80584,0.62572,0.53683,0.77662,0.67858,0.84617,0.000940855,0.000940855,0.000940855
46,2652.3,0.54064,0.84885,0.54298,0.95501,0.81854,0.85108,0.84819,0.73141,0.80806,0.84043,0.8329,0.66032,0.55481,0.71399,0.6423,0.86033,0.000924352,0.000924352,0.000924352
47,2709,0.53833,0.82595,0.54633,0.95381,0.82975,0.8568,0.84093,0.73617,0.82783,0.84847,0.8234,0.65628,0.55129,0.75712,0.62289,0.85915,0.000907848,0.000907848,0.000907848
48,2767,0.53528,0.8338,0.53787,0.95365,0.80426,0.88408,0.85211,0.74669,0.78419,0.89007,0.83662,0.6587,0.53481,0.75279,0.63761,0.85162,0.000891345,0.000891345,0.000891345
49,2822.06,0.54016,0.8016,0.53759,0.95057,0.81985,0.86855,0.85443,0.7497,0.80788,0.85122,0.83402,0.676,0.54495,0.74315,0.63378,0.86626,0.000874842,0.000874842,0.000874842
50,2878.67,0.5255,0.83254,0.52645,0.94607,0.80666,0.85776,0.83499,0.72853,0.80267,0.85467,0.81699,0.65531,0.55101,0.71039,0.64515,0.84055,0.000858338,0.000858338,0.000858338
51,2933.24,0.52468,0.79644,0.52317,0.94901,0.80205,0.85503,0.83627,0.7289,0.7956,0.84889,0.81714,0.64708,0.54486,0.76498,0.5997,0.8533,0.000841835,0.000841835,0.000841835
52,2989.18,0.52365,0.81378,0.51877,0.94224,0.79855,0.8794,0.83534,0.7438,0.79498,0.87638,0.82496,0.67154,0.5376,0.68426,0.61756,0.85007,0.000825332,0.000825332,0.000825332
53,3045.41,0.51427,0.79688,0.51334,0.94283,0.8379,0.86305,0.85052,0.75213,0.84499,0.83862,0.83922,0.67197,0.51551,0.69473,0.61712,0.83153,0.000808828,0.000808828,0.000808828
54,3103.81,0.51276,0.79706,0.51688,0.94409,0.83016,0.85007,0.84333,0.7424,0.82143,0.84949,0.8302,0.67489,0.54423,0.7104,0.60732,0.86819,0.000792325,0.000792325,0.000792325
55,3162.44,0.51235,0.77954,0.50793,0.94165,0.82326,0.8588,0.8486,0.73576,0.82508,0.84229,0.83499,0.66674,0.55961,0.72457,0.60544,0.86426,0.000775822,0.000775822,0.000775822
56,3220.23,0.51664,0.80386,0.51543,0.94948,0.83355,0.8408,0.84119,0.73899,0.8291,0.83771,0.8227,0.65734,0.53342,0.69586,0.63162,0.85345,0.000759318,0.000759318,0.000759318
57,3278.59,0.51078,0.77001,0.50403,0.94024,0.81078,0.87678,0.85958,0.75619,0.84037,0.8296,0.84842,0.66549,0.52606,0.70523,0.62511,0.83266,0.000742815,0.000742815,0.000742815
58,3338.91,0.50978,0.77767,0.51706,0.94036,0.84391,0.84757,0.86146,0.75722,0.83833,0.84293,0.84324,0.67802,0.52958,0.67885,0.56858,0.84453,0.000726312,0.000726312,0.000726312
59,3395.02,0.50547,0.7813,0.50162,0.93907,0.81155,0.88259,0.85433,0.75472,0.80254,0.8734,0.83946,0.67769,0.53189,0.70352,0.5739,0.84245,0.000709809,0.000709809,0.000709809
60,3453.58,0.50849,0.7749,0.50941,0.93905,0.81648,0.88525,0.85784,0.75073,0.80677,0.8761,0.83605,0.67517,0.53179,0.68622,0.58154,0.8387,0.000693305,0.000693305,0.000693305
61,3509.71,0.49999,0.78127,0.49871,0.93506,0.80669,0.87079,0.85808,0.76427,0.79469,0.85832,0.83541,0.67668,0.51123,0.73842,0.5827,0.8223,0.000676802,0.000676802,0.000676802
62,3567.42,0.50251,0.74846,0.4961,0.93807,0.81292,0.88022,0.85229,0.75553,0.80231,0.86973,0.83088,0.66178,0.49552,0.74217,0.58036,0.83183,0.000660299,0.000660299,0.000660299
63,3625.68,0.50739,0.759,0.50407,0.9423,0.81403,0.87955,0.83726,0.74193,0.80547,0.87013,0.82586,0.66639,0.51853,0.73736,0.61101,0.84158,0.000643795,0.000643795,0.000643795
64,3679.92,0.49214,0.77795,0.48761,0.93026,0.79424,0.89893,0.85492,0.76288,0.78969,0.89365,0.8383,0.67981,0.5206,0.6884,0.56397,0.85023,0.000627292,0.000627292,0.000627292
65,3737.37,0.49848,0.74383,0.49536,0.93619,0.82906,0.84752,0.85156,0.75813,0.81132,0.87481,0.84035,0.67992,0.48661,0.69116,0.57041,0.81816,0.000610789,0.000610789,0.000610789
